content,clean_tokens,stemmed,label
Mantap,['mantap'],['mantap'],1
Mempermudah dalam hal memilih kursi bioskop,"['mempermudah', 'dalam', 'hal', 'memilih', 'kursi', 'bioskop']","['mudah', 'pilih', 'kursi', 'bioskop']",1
Ok bgtt,"['ok', 'bgtt']","['ok', 'bgtt']",1
"kapan buka kembali untuk area Medan, Jakarta, Bandung, dan Surabaya? udah rindu kelamaan Ga nonton bioskop ini, biasa tempat Refreshing keluarga kalau bersama Bioskop!","['kapan', 'buka', 'kembali', 'untuk', 'area', 'medan', 'jakarta', 'bandung', 'dan', 'surabaya', 'udah', 'rindu', 'kelamaan', 'ga', 'nonton', 'bioskop', 'ini', 'biasa', 'tempat', 'refreshing', 'keluarga', 'kalau', 'bersama', 'bioskop']","['buka', 'area', 'medan', 'jakarta', 'bandung', 'surabaya', 'udah', 'rindu', 'ga', 'nonton', 'bioskop', 'refreshing', 'keluarga', 'bioskop']",1
Ok,['ok'],['ok'],1
Saya mohon untuk menambahkan fitur penarikan saldo,"['saya', 'mohon', 'untuk', 'menambahkan', 'fitur', 'penarikan', 'saldo']","['fitur', 'tari', 'saldo']",0
Cukup membantu,"['cukup', 'membantu']",['bantu'],1
Good,['good'],['good'],1
Memuaskan,['memuaskan'],['muas'],1
Good,['good'],['good'],1
ok,['ok'],['ok'],1
Gak ada apapun,"['gak', 'ada', 'apapun']","['gak', 'apa']",0
"Saya suka sama aplikasi ini, memudahkan pembelian tiket secara online tanpa harus antri. Tapi tolong diperbaiki untuk penarikan saldo. Saya topup 500.000 baru terpakai 310.000 sisanya belum terpakai keburu Covid. Kalo bisa disempurnakan untuk penarikan saldo nya 🙏🏻","['saya', 'suka', 'sama', 'aplikasi', 'ini', 'memudahkan', 'pembelian', 'tiket', 'secara', 'online', 'tanpa', 'harus', 'antri', 'tapi', 'tolong', 'diperbaiki', 'untuk', 'penarikan', 'saldo', 'saya', 'topup', '500.000', 'baru', 'terpakai', '310.000', 'sisanya', 'belum', 'terpakai', 'keburu', 'covid', 'kalo', 'bisa', 'disempurnakan', 'untuk', 'penarikan', 'saldo', 'nya']","['suka', 'aplikasi', 'mudah', 'beli', 'tiket', 'online', 'antri', 'tolong', 'baik', 'tari', 'saldo', 'topup', '500 000', 'pakai', '310 000', 'sisa', 'pakai', 'keburu', 'covid', 'kalo', 'sempurna', 'tari', 'saldo']",1
"Gak ada film, saldo mubazir coy...","['gak', 'ada', 'film', 'saldo', 'mubazir', 'coy']","['gak', 'film', 'saldo', 'mubazir', 'coy']",0
Coba,['coba'],['coba'],0
Good,['good'],['good'],1
Very bad,"['very', 'bad']","['very', 'bad']",0
Di sini ada Peter rabbit 2: the runaway gak????,"['di', 'sini', 'ada', 'peter', 'rabbit', '2', 'the', 'runaway', 'gak']","['peter', 'rabbit', '2', 'the', 'runaway', 'gak']",1
Lemot,['lemot'],['lot'],0
Mantap,['mantap'],['mantap'],1
Hehe ssanns:(,"['hehe', 'ssanns']","['hehe', 'ssanns']",1
Mantap,['mantap'],['mantap'],1
Bagus aplikasinya,"['bagus', 'aplikasinya']","['bagus', 'aplikasi']",1
Mantap.,['mantap'],['mantap'],1
good,['good'],['good'],1
Sampah transaksi gk berhasil teros,"['sampah', 'transaksi', 'gk', 'berhasil', 'teros']","['sampah', 'transaksi', 'gk', 'hasil', 'ros']",0
Th podo,"['th', 'podo']","['th', 'podo']",1
Bagus,['bagus'],['bagus'],1
Greattt app,"['greattt', 'app']","['greattt', 'app']",1
Ok,['ok'],['ok'],1
Aplikasi ini sangat bagus,"['aplikasi', 'ini', 'sangat', 'bagus']","['aplikasi', 'bagus']",1
Sangat membantu,"['sangat', 'membantu']",['bantu'],1
"Kayaknya mending diubah minimal berapa nya untuk transfer, dan perlu adanya saldo bisa dikirim ke rekening karna saldo saya lumayan di aplikasi ini, tapi sayang gak bisa ditransfer ke rekening, masa iya pandemi saya mesti nonton mulu","['kayaknya', 'mending', 'diubah', 'minimal', 'berapa', 'nya', 'untuk', 'transfer', 'dan', 'perlu', 'adanya', 'saldo', 'bisa', 'dikirim', 'ke', 'rekening', 'karna', 'saldo', 'saya', 'lumayan', 'di', 'aplikasi', 'ini', 'tapi', 'sayang', 'gak', 'bisa', 'ditransfer', 'ke', 'rekening', 'masa', 'iya', 'pandemi', 'saya', 'mesti', 'nonton', 'mulu']","['kayak', 'mending', 'ubah', 'minimal', 'transfer', 'saldo', 'kirim', 'rekening', 'karna', 'saldo', 'lumayan', 'aplikasi', 'sayang', 'gak', 'transfer', 'rekening', 'iya', 'pandemi', 'mesti', 'nonton', 'mulu']",0
"Cara refund saldonya gmna yah? Sayang"" soalnya ga kepakai","['cara', 'refund', 'saldonya', 'gmna', 'yah', 'sayang', 'soalnya', 'ga', 'kepakai']","['refund', 'saldo', 'gmna', 'yah', 'sayang', 'ga', 'pakai']",0
"Saran, agar kedepannya tersedia menu refund saldo mtix. Terima kasih.","['saran', 'agar', 'kedepannya', 'tersedia', 'menu', 'refund', 'saldo', 'mtix', 'terima', 'kasih']","['saran', 'depan', 'sedia', 'menu', 'refund', 'saldo', 'mtix', 'terima', 'kasih']",1
Sangat Bagus 💞,"['sangat', 'bagus']",['bagus'],1
Jelek,['jelek'],['jelek'],0
"XXI cafe terlalu mahal..., hrs bisa berpikir kedepan...","['xxi', 'cafe', 'terlalu', 'mahal', 'hrs', 'bisa', 'berpikir', 'kedepan']","['xxi', 'cafe', 'mahal', 'hrs', 'pikir', 'depan']",0
Lelet,['lelet'],['lelet'],1
Pelayanan cukup baik,"['pelayanan', 'cukup', 'baik']",['layan'],1
"Ga guna sama sekali, kebanyakan biaya admin !! Minim top up 100rb, trus kalo kurang 5000 harus top up 100rb ? Tolol lah anj, mana ga bisa di tarik duitnya .. !!","['ga', 'guna', 'sama', 'sekali', 'kebanyakan', 'biaya', 'admin', 'minim', 'top', 'up', '100rb', 'trus', 'kalo', 'kurang', '5000', 'harus', 'top', 'up', '100rb', 'tolol', 'lah', 'anj', 'mana', 'ga', 'bisa', 'di', 'tarik', 'duitnya']","['ga', 'banyak', 'biaya', 'admin', 'minim', 'top', 'up', '100rb', 'trus', 'kalo', '5000', 'top', 'up', '100rb', 'tolol', 'anj', 'ga', 'tarik', 'duit']",0
"Proses saat Register terlalu lama,please wait","['proses', 'saat', 'register', 'terlalu', 'lama', 'please', 'wait']","['proses', 'register', 'please', 'wait']",0
Gbs klik confirm order pemesanan tiket. Yg muncul malah blank coloumn. Bagaimana ini?,"['gbs', 'klik', 'confirm', 'order', 'pemesanan', 'tiket', 'yg', 'muncul', 'malah', 'blank', 'coloumn', 'bagaimana', 'ini']","['gbs', 'klik', 'confirm', 'order', 'mesan', 'tiket', 'yg', 'muncul', 'blank', 'coloumn']",0
Mantap xx1 maju terus biar sy bisa nonton dmn xx1 berdiri mantap maju keren i like you xx1,"['mantap', 'xx1', 'maju', 'terus', 'biar', 'sy', 'bisa', 'nonton', 'dmn', 'xx1', 'berdiri', 'mantap', 'maju', 'keren', 'i', 'like', 'you', 'xx1']","['mantap', 'xx1', 'maju', 'biar', 'sy', 'nonton', 'dmn', 'xx1', 'diri', 'mantap', 'maju', 'keren', 'like', 'you', 'xx1']",1
Kerem,['kerem'],['rem'],1
mr owner yang terhormat... saya ada saran saja harusnya biaya admin fee setiap top up dan pembelian itu DI HAPUS beda cerita kalau judulnya adalah TEX itu suatu kewajiban dari pemerintah...tolong diperhatikan lebih2 ini demi kebaikan dan kemajuan XXI yang semakin hari pesaingnya semakin banyak... terima kasih atas perhatiannya,"['mr', 'owner', 'yang', 'terhormat', 'saya', 'ada', 'saran', 'saja', 'harusnya', 'biaya', 'admin', 'fee', 'setiap', 'top', 'up', 'dan', 'pembelian', 'itu', 'di', 'hapus', 'beda', 'cerita', 'kalau', 'judulnya', 'adalah', 'tex', 'itu', 'suatu', 'kewajiban', 'dari', 'pemerintah', 'tolong', 'diperhatikan', 'lebih2', 'ini', 'demi', 'kebaikan', 'dan', 'kemajuan', 'xxi', 'yang', 'semakin', 'hari', 'pesaingnya', 'semakin', 'banyak', 'terima', 'kasih', 'atas', 'perhatiannya']","['mr', 'owner', 'hormat', 'saran', 'biaya', 'admin', 'fee', 'top', 'up', 'beli', 'hapus', 'beda', 'cerita', 'judul', 'tex', 'wajib', 'perintah', 'tolong', 'perhati', 'lebih2', 'baik', 'maju', 'xxi', 'saing', 'terima', 'kasih', 'perhati']",0
"Cool, nice and Happy","['cool', 'nice', 'and', 'happy']","['cool', 'nice', 'and', 'happy']",1
Bagus banget,"['bagus', 'banget']","['bagus', 'banget']",1
Mantap,['mantap'],['mantap'],1
Perbaiki saja apa yang seharusnya diperbaiki.,"['perbaiki', 'saja', 'apa', 'yang', 'seharusnya', 'diperbaiki']","['baik', 'baik']",0
Bagus,['bagus'],['bagus'],1
Bagus banget...👍👍👍👍,"['bagus', 'banget']","['bagus', 'banget']",1
Mantap,['mantap'],['mantap'],1
Sangat bermanfaat👍,"['sangat', 'bermanfaat👍']",['manfaat'],1
Ok,['ok'],['ok'],1
"aplikasi tidak jelas! saldo sudah berkurang tapi tidak dapat apa apa! saya beli minuman sudah bayar tapi tidak bisa diambil dengan alasan sudah kadaluarsa, padahal saat pembelian tidak ada keterangan harus diambil hari ini, tetapi saat pesan makanan bisa diambil, kan aneh! padahal saya beli minuman dan makanan di hari yang sama, makanan bisa diambil tapi minuman tidak bisa haha lucu ya!","['aplikasi', 'tidak', 'jelas', 'saldo', 'sudah', 'berkurang', 'tapi', 'tidak', 'dapat', 'apa', 'apa', 'saya', 'beli', 'minuman', 'sudah', 'bayar', 'tapi', 'tidak', 'bisa', 'diambil', 'dengan', 'alasan', 'sudah', 'kadaluarsa', 'padahal', 'saat', 'pembelian', 'tidak', 'ada', 'keterangan', 'harus', 'diambil', 'hari', 'ini', 'tetapi', 'saat', 'pesan', 'makanan', 'bisa', 'diambil', 'kan', 'aneh', 'padahal', 'saya', 'beli', 'minuman', 'dan', 'makanan', 'di', 'hari', 'yang', 'sama', 'makanan', 'bisa', 'diambil', 'tapi', 'minuman', 'tidak', 'bisa', 'haha', 'lucu', 'ya']","['aplikasi', 'saldo', 'kurang', 'beli', 'minum', 'bayar', 'ambil', 'alas', 'kadaluarsa', 'beli', 'terang', 'ambil', 'pesan', 'makan', 'ambil', 'aneh', 'beli', 'minum', 'makan', 'makan', 'ambil', 'minum', 'haha', 'lucu']",0
Yoi bro,"['yoi', 'bro']","['yoi', 'bro']",1
sy dari tadi download mtix engk bisa bisa nih kenapa yaa..ada yg bs bantu sy please,"['sy', 'dari', 'tadi', 'download', 'mtix', 'engk', 'bisa', 'bisa', 'nih', 'kenapa', 'yaa', 'ada', 'yg', 'bs', 'bantu', 'sy', 'please']","['sy', 'download', 'mtix', 'engk', 'nih', 'yaa', 'yg', 'bs', 'bantu', 'sy', 'please']",0
Good,['good'],['good'],1
"Kebanyakan kode otp pas regist,masuk sms kodenya lama lagi","['kebanyakan', 'kode', 'otp', 'pas', 'regist', 'masuk', 'sms', 'kodenya', 'lama', 'lagi']","['banyak', 'kode', 'otp', 'pas', 'regist', 'sms', 'kode']",0
Ini biar dpt kode aktivasi lewat sms nya gmna sih? Susah amat nerima kode nya....,"['ini', 'biar', 'dpt', 'kode', 'aktivasi', 'lewat', 'sms', 'nya', 'gmna', 'sih', 'susah', 'amat', 'nerima', 'kode', 'nya']","['biar', 'dpt', 'kode', 'aktivasi', 'sms', 'gmna', 'sih', 'susah', 'nerima', 'kode']",0
kenapa not proces terus nih,"['kenapa', 'not', 'proces', 'terus', 'nih']","['not', 'proces', 'nih']",1
Bgus,['bgus'],['bgus'],1
Filemnya bagus dan keren banget sih,"['filemnya', 'bagus', 'dan', 'keren', 'banget', 'sih']","['filemnya', 'bagus', 'keren', 'banget', 'sih']",1
U pesen tiket ga ush last minutr donk.. Hrsnya slma blm maen film msh bs booked film.. Kan kita udh pake app ini klo ngedadak3 kan bs dipake,"['u', 'pesen', 'tiket', 'ga', 'ush', 'last', 'minutr', 'donk', 'hrsnya', 'slma', 'blm', 'maen', 'film', 'msh', 'bs', 'booked', 'film', 'kan', 'kita', 'udh', 'pake', 'app', 'ini', 'klo', 'ngedadak3', 'kan', 'bs', 'dipake']","['sen', 'tiket', 'ga', 'ush', 'last', 'minutr', 'donk', 'hrsnya', 'slma', 'blm', 'maen', 'film', 'msh', 'bs', 'booked', 'film', 'udh', 'pake', 'app', 'klo', 'ngedadak3', 'bs', 'dipake']",1
Praktis,['praktis'],['praktis'],1
"Barusan download aplikasi ini,,eh 1detik langsung otomatis keluar sendiri ku buka lagi eh otomatis keluar lagi...😴😴 Langsung ku hapus instal","['barusan', 'download', 'aplikasi', 'ini', '1detik', 'langsung', 'otomatis', 'keluar', 'sendiri', 'ku', 'buka', 'lagi', 'eh', 'otomatis', 'keluar', 'lagi', 'langsung', 'ku', 'hapus', 'instal']","['barusan', 'download', 'aplikasi', '1detik', 'otomatis', 'ku', 'buka', 'eh', 'otomatis', 'ku', 'hapus', 'instal']",0
App nya bagus :v,"['app', 'nya', 'bagus', 'v']","['app', 'bagus']",1
"Haduh biaya admin tiap top up gila2an masa 6000 tiap top up , klo kurang harus isi lagi 100ribu dipotong lagi 6000 . Bikin bangkrut klo sering2 top up yang ada","['haduh', 'biaya', 'admin', 'tiap', 'top', 'up', 'gila2an', 'masa', '6000', 'tiap', 'top', 'up', 'klo', 'kurang', 'harus', 'isi', 'lagi', '100ribu', 'dipotong', 'lagi', '6000', 'bikin', 'bangkrut', 'klo', 'sering2', 'top', 'up', 'yang', 'ada']","['haduh', 'biaya', 'admin', 'top', 'up', 'gila2an', '6000', 'top', 'up', 'klo', 'isi', '100ribu', 'potong', '6000', 'bikin', 'bangkrut', 'klo', 'sering2', 'top', 'up']",0
Kaga bagus,"['kaga', 'bagus']","['kaga', 'bagus']",0
Menyenangkan,['menyenangkan'],['senang'],1
Jelek,['jelek'],['jelek'],0
Puas,['puas'],['puas'],1
Nyaman,['nyaman'],['nyaman'],1
Loadingnya terlalu lama,"['loadingnya', 'terlalu', 'lama']",['loadingnya'],0
Ini gimana sih udah registrasi via email. Masih belum bisa login. Activation code nya via sms jg ga dikirim2.,"['ini', 'gimana', 'sih', 'udah', 'registrasi', 'via', 'email', 'masih', 'belum', 'bisa', 'login', 'activation', 'code', 'nya', 'via', 'sms', 'jg', 'ga', 'dikirim2']","['gimana', 'sih', 'udah', 'registrasi', 'via', 'email', 'login', 'activation', 'code', 'via', 'sms', 'jg', 'ga', 'dikirim2']",0
Harga Pop Corn ukuran medium 35 ribu. Itu ukuran medium harusnya small. Dikit banget isinya. Kopi Pandan 35 ribu gelas reguler. Gilaaa harganya diluar nalar banget yak.. Kalo ditempat laen 28 ribu itu udah plus pajak loh.. Ribanya keliatan banget nih bioskop,"['harga', 'pop', 'corn', 'ukuran', 'medium', '35', 'ribu', 'itu', 'ukuran', 'medium', 'harusnya', 'small', 'dikit', 'banget', 'isinya', 'kopi', 'pandan', '35', 'ribu', 'gelas', 'reguler', 'gilaaa', 'harganya', 'diluar', 'nalar', 'banget', 'yak', 'kalo', 'ditempat', 'laen', '28', 'ribu', 'itu', 'udah', 'plus', 'pajak', 'loh', 'ribanya', 'keliatan', 'banget', 'nih', 'bioskop']","['harga', 'pop', 'corn', 'ukur', 'medium', '35', 'ribu', 'ukur', 'medium', 'small', 'dikit', 'banget', 'isi', 'kopi', 'pandan', '35', 'ribu', 'gelas', 'reguler', 'gilaaa', 'harga', 'luar', 'nalar', 'banget', 'yak', 'kalo', 'tempat', 'laen', '28', 'ribu', 'udah', 'plus', 'pajak', 'loh', 'riba', 'liat', 'banget', 'nih', 'bioskop']",0
Aplikasi yg memudahkan kita akses film yg sedang berlangsung ataupu yang akan datang,"['aplikasi', 'yg', 'memudahkan', 'kita', 'akses', 'film', 'yg', 'sedang', 'berlangsung', 'ataupu', 'yang', 'akan', 'datang']","['aplikasi', 'yg', 'mudah', 'akses', 'film', 'yg', 'ataupu']",1
Sebaiknya ditambahkan fitur bayar untuk pembelian produk makanan/minuman di cinema,"['sebaiknya', 'ditambahkan', 'fitur', 'bayar', 'untuk', 'pembelian', 'produk', 'makanan/minuman', 'di', 'cinema']","['fitur', 'bayar', 'beli', 'produk', 'makan minum', 'cema']",1
yg bilang aplikasi jelek jngn pelit bintang,"['yg', 'bilang', 'aplikasi', 'jelek', 'jngn', 'pelit', 'bintang']","['yg', 'bilang', 'aplikasi', 'jelek', 'jngn', 'pelit', 'bintang']",1
Gak smua xxi tertera disini ya...masa sy cari xxi yg di Summarecon mall serpong gada,"['gak', 'smua', 'xxi', 'tertera', 'disini', 'ya', 'masa', 'sy', 'cari', 'xxi', 'yg', 'di', 'summarecon', 'mall', 'serpong', 'gada']","['gak', 'smua', 'xxi', 'tera', 'sy', 'cari', 'xxi', 'yg', 'summarecon', 'mall', 'serpong', 'gada']",0
Love,['love'],['love'],1
"Semenjak bulan Mei sudah tidak bisa beli tiket online lg, selalu blgnya gangguan sinyal padahal msh ada saldo","['semenjak', 'bulan', 'mei', 'sudah', 'tidak', 'bisa', 'beli', 'tiket', 'online', 'lg', 'selalu', 'blgnya', 'gangguan', 'sinyal', 'padahal', 'msh', 'ada', 'saldo']","['semenjak', 'mei', 'beli', 'tiket', 'online', 'lg', 'blgnya', 'ganggu', 'sinyal', 'msh', 'saldo']",0
Adhityo firdaus putra,"['adhityo', 'firdaus', 'putra']","['adhityo', 'firdaus', 'putra']",1
Harga tiket lebih mahal+biaya admin pas top up+biaya admin pembelian tiket,"['harga', 'tiket', 'lebih', 'mahal+biaya', 'admin', 'pas', 'top', 'up+biaya', 'admin', 'pembelian', 'tiket']","['harga', 'tiket', 'mahal biaya', 'admin', 'pas', 'top', 'up biaya', 'admin', 'beli', 'tiket']",0
Bagus,['bagus'],['bagus'],1
Denah tolong diperbaiki ada yang tidak sesuai . Studio 3 transmart sidoarjo.di aplikasi tidak dikasih spasi jalan . Tolong di sesuaikan denah di gedung dan aplikasi.,"['denah', 'tolong', 'diperbaiki', 'ada', 'yang', 'tidak', 'sesuai', 'studio', '3', 'transmart', 'sidoarjo.di', 'aplikasi', 'tidak', 'dikasih', 'spasi', 'jalan', 'tolong', 'di', 'sesuaikan', 'denah', 'di', 'gedung', 'dan', 'aplikasi']","['denah', 'tolong', 'baik', 'sesuai', 'studio', '3', 'transmart', 'sidoarjo di', 'aplikasi', 'kasih', 'spasi', 'jalan', 'tolong', 'sesuai', 'denah', 'gedung', 'aplikasi']",0
Aplikasi payah,"['aplikasi', 'payah']","['aplikasi', 'payah']",0
"Kantornya dimana sieh ini, pengen gua demo, duit gua ga bisa di refund, ataw lapor aj ke YLKI...","['kantornya', 'dimana', 'sieh', 'ini', 'pengen', 'gua', 'demo', 'duit', 'gua', 'ga', 'bisa', 'di', 'refund', 'ataw', 'lapor', 'aj', 'ke', 'ylki']","['kantor', 'mana', 'sieh', 'ken', 'gua', 'demo', 'duit', 'gua', 'ga', 'refund', 'ataw', 'lapor', 'aj', 'ylki']",0
"Kelemahan aplikasi anda. Kami lambat 1 menit saja dari jadwal tayang., sudah tidak bisa pesan tiket karena pilihan beli sudah closed. Jauh beda saat metode manual, lambat sampai 10 menit masih bisa beli tiket. Mohon diperbaiki.","['kelemahan', 'aplikasi', 'anda', 'kami', 'lambat', '1', 'menit', 'saja', 'dari', 'jadwal', 'tayang.', 'sudah', 'tidak', 'bisa', 'pesan', 'tiket', 'karena', 'pilihan', 'beli', 'sudah', 'closed', 'jauh', 'beda', 'saat', 'metode', 'manual', 'lambat', 'sampai', '10', 'menit', 'masih', 'bisa', 'beli', 'tiket', 'mohon', 'diperbaiki']","['lemah', 'aplikasi', 'lambat', '1', 'menit', 'jadwal', 'tayang', 'pesan', 'tiket', 'pilih', 'beli', 'closed', 'beda', 'metode', 'manual', 'lambat', '10', 'menit', 'beli', 'tiket', 'baik']",0
"Gw saranin TOP UPnya jangan dibesarkan dong, plus biaya admin bikin riweh beli tiket juga. Dan kalo bisa saldonya bisa ditarik lagi biar enak masuk, keluarin saldo","['gw', 'saranin', 'top', 'upnya', 'jangan', 'dibesarkan', 'dong', 'plus', 'biaya', 'admin', 'bikin', 'riweh', 'beli', 'tiket', 'juga', 'dan', 'kalo', 'bisa', 'saldonya', 'bisa', 'ditarik', 'lagi', 'biar', 'enak', 'masuk', 'keluarin', 'saldo']","['gw', 'saranin', 'top', 'upnya', 'besar', 'plus', 'biaya', 'admin', 'bikin', 'riweh', 'beli', 'tiket', 'kalo', 'saldo', 'tarik', 'biar', 'keluarin', 'saldo']",0
Bermanfaat...,['bermanfaat'],['manfaat'],1
Cukup membantu dalam kemudahan mencari film2,"['cukup', 'membantu', 'dalam', 'kemudahan', 'mencari', 'film2']","['bantu', 'mudah', 'cari', 'film2']",1
Ok g ada masalah,"['ok', 'g', 'ada', 'masalah']",['ok'],1
mahal?! kakekan biaya admin. gak mutu,"['mahal', 'kakekan', 'biaya', 'admin', 'gak', 'mutu']","['mahal', 'kakek', 'biaya', 'admin', 'gak', 'mutu']",0
Donwload nya lama error!,"['donwload', 'nya', 'lama', 'error']","['donwload', 'error']",0
Beli pake promo mental keluar mulu,"['beli', 'pake', 'promo', 'mental', 'keluar', 'mulu']","['beli', 'pake', 'promo', 'mental', 'mulu']",0
Rencana Nonton jadi mudah dengan aplikasi ini.,"['rencana', 'nonton', 'jadi', 'mudah', 'dengan', 'aplikasi', 'ini']","['rencana', 'nonton', 'mudah', 'aplikasi']",1
IDTO,['idto'],['idto'],1
Akhir2 ini Xxi jgn puter film horor mulu dong payah,"['akhir2', 'ini', 'xxi', 'jgn', 'puter', 'film', 'horor', 'mulu', 'dong', 'payah']","['akhir2', 'xxi', 'jgn', 'puter', 'film', 'horor', 'mulu', 'payah']",0
"Saldo saya hilang gitu aja dong , apk nya aneh","['saldo', 'saya', 'hilang', 'gitu', 'aja', 'dong', 'apk', 'nya', 'aneh']","['saldo', 'hilang', 'gitu', 'aja', 'apk', 'aneh']",0
Yang download akan nyesel.,"['yang', 'download', 'akan', 'nyesel']","['download', 'nyesel']",0
Aplikasi kambing ..,"['aplikasi', 'kambing']","['aplikasi', 'kambing']",0
Good,['good'],['good'],1
bagus bagus semua,"['bagus', 'bagus', 'semua']","['bagus', 'bagus']",1
Tidak bisa di instal,"['tidak', 'bisa', 'di', 'instal']",['instal'],0
Mantap,['mantap'],['mantap'],1
Bad,['bad'],['bad'],0
"Mau nonton wajib download aplikasi, Top up Min Rp.100rb, biaya top up Rp.5rb, biaya admin /transaksi Rp.6rb. Total biaya transaksi 11rb d luar hrga tiket. Ini makin mudah apa makin sulit sih ?","['mau', 'nonton', 'wajib', 'download', 'aplikasi', 'top', 'up', 'min', 'rp.100rb', 'biaya', 'top', 'up', 'rp.5rb', 'biaya', 'admin', 'rp.6rb', 'total', 'biaya', 'transaksi', '11rb', 'd', 'luar', 'hrga', 'tiket', 'ini', 'makin', 'mudah', 'apa', 'makin', 'sulit', 'sih']","['nonton', 'wajib', 'download', 'aplikasi', 'top', 'up', 'min', 'rp 100rb', 'biaya', 'top', 'up', 'rp 5rb', 'biaya', 'admin', 'rp 6rb', 'total', 'biaya', 'transaksi', '11rb', 'hrga', 'tiket', 'mudah', 'sulit', 'sih']",0
banyak film yang bagus dan banyak cerita yah seruh banget.sukses selalu cinema 21,"['banyak', 'film', 'yang', 'bagus', 'dan', 'banyak', 'cerita', 'yah', 'seruh', 'banget.sukses', 'selalu', 'cinema', '21']","['film', 'bagus', 'cerita', 'yah', 'seruh', 'banget sukses', 'cema', '21']",1
Nice,['nice'],['nice'],1
Mantap,['mantap'],['mantap'],1
up,['up'],['up'],1
Ribet amat mau nonton pdhal sama2 bayar....,"['ribet', 'amat', 'mau', 'nonton', 'pdhal', 'sama2', 'bayar']","['ribet', 'nonton', 'pdhal', 'sama2', 'bayar']",0
Aish remponggg,"['aish', 'remponggg']","['aish', 'remponggg']",0
Good,['good'],['good'],1
cukup bagus,"['cukup', 'bagus']",['bagus'],1
The best .,"['the', 'best']","['the', 'best']",1
Ini oq isinya cuman the park aja toooo,"['ini', 'oq', 'isinya', 'cuman', 'the', 'park', 'aja', 'toooo']","['oq', 'isi', 'cuman', 'the', 'park', 'aja', 'toooo']",0
"Minimum top up terlalu besar, kebanyakan biaya admin. Pilihan e wallet juga sangat terbatas","['minimum', 'top', 'up', 'terlalu', 'besar', 'kebanyakan', 'biaya', 'admin', 'pilihan', 'e', 'wallet', 'juga', 'sangat', 'terbatas']","['minimum', 'top', 'up', 'banyak', 'biaya', 'admin', 'pilih', 'wallet', 'batas']",0
Force close mulu,"['force', 'close', 'mulu']","['force', 'close', 'mulu']",0
Bisa nonton,"['bisa', 'nonton']",['nonton'],1
Baguss,['baguss'],['baguss'],1
Mantap bs liat jam tayang jam berp n g antriiii,"['mantap', 'bs', 'liat', 'jam', 'tayang', 'jam', 'berp', 'n', 'g', 'antriiii']","['mantap', 'bs', 'liat', 'jam', 'tayang', 'jam', 'berp', 'antriiii']",1
Jelek,['jelek'],['jelek'],0
"Saldo saya hilang ntah kemana dan history transaksi juga hilang, padahal saya terakhir kali pakai aplikasi nya beli tiket bulan Desember lalu. Aplikasi membagongkan :)) saldo hilang tanpa pemberitahuan apa², history hilang tanpa pemberitahuan apa², tidak recommended download apk ini :))","['saldo', 'saya', 'hilang', 'ntah', 'kemana', 'dan', 'history', 'transaksi', 'juga', 'hilang', 'padahal', 'saya', 'terakhir', 'kali', 'pakai', 'aplikasi', 'nya', 'beli', 'tiket', 'bulan', 'desember', 'lalu', 'aplikasi', 'membagongkan', 'saldo', 'hilang', 'tanpa', 'pemberitahuan', 'apa²', 'history', 'hilang', 'tanpa', 'pemberitahuan', 'apa²', 'tidak', 'recommended', 'download', 'apk', 'ini']","['saldo', 'hilang', 'ntah', 'mana', 'history', 'transaksi', 'hilang', 'pakai', 'aplikasi', 'beli', 'tiket', 'desember', 'aplikasi', 'bagong', 'saldo', 'hilang', 'pemberitahuan', 'apa', 'history', 'hilang', 'pemberitahuan', 'apa', 'recommended', 'download', 'apk']",0
Ok,['ok'],['ok'],1
Mantap,['mantap'],['mantap'],1
Like,['like'],['like'],1
Jelek sekali sering eror,"['jelek', 'sekali', 'sering', 'eror']","['jelek', 'eror']",0
Sangat membantu,"['sangat', 'membantu']",['bantu'],1
"Gak bisa select tanggal, jam tayang, teater.. sebenernya aplikasi ini buat apa sih","['gak', 'bisa', 'select', 'tanggal', 'jam', 'tayang', 'teater', 'sebenernya', 'aplikasi', 'ini', 'buat', 'apa', 'sih']","['gak', 'select', 'tanggal', 'jam', 'tayang', 'teater', 'sebenernya', 'aplikasi', 'sih']",0
Ok,['ok'],['ok'],1
Memudahkan,['memudahkan'],['mudah'],1
LEBIH DIPERMUDAH LAGI CARA BAYARNYA...DAN BIAYA ADMIN MTIK MENURUTKU KEMAHALAN 5RB..LEBIH DITURUNIN BIAYA ADMINNYA,"['lebih', 'dipermudah', 'lagi', 'cara', 'bayarnya', 'dan', 'biaya', 'admin', 'mtik', 'menurutku', 'kemahalan', '5rb', 'lebih', 'diturunin', 'biaya', 'adminnya']","['mudah', 'bayar', 'biaya', 'admin', 'mtik', 'turut', 'mahal', '5rb', 'diturunin', 'biaya', 'adminnya']",1
Aplikasi ya bagus banget,"['aplikasi', 'ya', 'bagus', 'banget']","['aplikasi', 'bagus', 'banget']",1
Aplikasinya gk bisa dipake.,"['aplikasinya', 'gk', 'bisa', 'dipake']","['aplikasi', 'gk', 'dipake']",0
