content,score
"Wowww aplikasi nya sangat membantu,,,mantappppp betullllll pokonyaaa",5
TOLONG LOKASI BANYUANGI TIDAK ADA DI APLIKASI CINEMA 21 TOLONG DI PERBAIKIIIII!!!!,1
Dengan ini gw bisa beli tiket🗿☝️,5
"Sudah di install, mau pesen ticket ga bisa di pencett",1
Loading lambat,1
verifikasi not valid trus plerrr,1
Sms OTP nya lama,1
"Woi klo ngasih kode verifikasi yg cepet ngapa!!! Gua di daftar jam berapa di kirim jam berapa, kaga jelas bet",2
Masukin kode verifikasi dari cinema nya malah gak bisa!!!!,1
Registrasinya lama bgt kodenya ga masuk-masuk😩,1
Lama kirim activasi sms nya,1
Otp code tdk valid. Pdhl yg kirim sms lgsg dr mtix Payah bgt... susah login. Ngak bisa beli,1
"Burul sekali, Daftar susah banget, dah bener masukin nomer hp, ga masuk² pesanya, sekalinya pesan masuk belum 10 detik udah code no valid..👎",1
Buruk registasi nomor telfon padahal kodenya sudah benar tetap tidak bisa,1
Lama sekali untuk kirim kode otp nya!,1
"Top up nya besar banget haru 100k biaya admin nya juga terlalu besar. Kan sayang banget kalo cuma nonton sendiri, udh gitu saldo ngendap nya ga bisa di cairin ke rekening.. coba aja kalo bisa",1
Sulit untuk Register mendapatkan SMS Activation ... Bad Job,1
"Punya potensi menjadi aplikasi tiket yang bagus, tapi pas registrasi aja SMS ga ngirim-ngirim kodenya",1
"Buat registrasi nya sampe 2 pake email dan SMS yg SMS lama sekali dapat notif kode Verifikasi nya, amput dah",1
Kode otp SMS verifikasi selalu tidak muncul,1
Sms activation ga nongol2,1
Konyol udah nunggu 20 menit sms verifikasi ga di kirim,1
Gak bisa login suruh verifikasi sms mulu,1
Malah gabisa di download asu,1
Kode OTP SMS ga masuk masuk jadi ga bisa daftar,1
"Mau daftar account ga bisa, setiap kirim SMS code OTP ga pernah masuk",1
"Mau daftar terus harus masukin code, tapi code nya tidak terkirim ke SMS sama sekali",1
Ga bisa refund saldonya😑,3
"Apaan banget salah gue si ga baca review playstore cuma si t&c nya gada ketentuan kalo ada admin 5rb setelah top up, harusnya ada dong ketentuannya pas top up gimana yaa ke ngejebak aja si jadinya ini mau nonton ber 4 top nya pas saldo kepotong 5 rb atuh kudu topup lg mana minimal top up 100rb bnyak banget untuk org miskin kaya saya niatnya nyari promoan gajadi ini mah boncos iyaaa males bet, mana ga bisa di tarik lagi",1
Knp ga bs pesan bangku nya??,5
"Biaya admin topup terlalu mahal, dan topup minimal 100rb itu Irasional.. Biayanya maksa dan sisa saldo ga bisa buat belanja di aplikasi lain.",1
"Cara bayarnya gmn ya,ada yg tau ga?kan adanya metode m.tix doangg",3
ayo lah di kasi buat withdraw/ penarikan dana sayang yg kelebihan topup gk bisa di gunakan,5
Membantu,5
Bagus,5
Masa uangnya nyangkut mana admin nya gede bat gaada keteranganny lg,1
lama banget download nya padahal wifi nya bagus jaringannya,1
Astagfirullah kl bisa berkata kasar udah mau bgt 😭😭😭,1
"Minimal topup kegedean, hanya karna kurang 3 ribu biaya admin harus topup 100 lagi. Sangat merugikan!!!!",1
Terlalu banyak biaya Admin nya 😂. Ga efisien jadinya,1
"aplikasinya sering lost connection,. min topup yg terlalu besar, apa lg tidak bisa berfungsi sebagai alat pembayaran d merchant, jd d rasa mubajir klo hrs topup 100k yg d pke cma 35k, sisanya masih bnyk dan seolah2 d paksa hrs nontn lg karena ga bisa d gunakan buat transaksi berbelanja",2
gatau bkm dibuka aplikasi nyaa minn,5
"Untk sekarang bintang 1 dulu, nanti saya kasi bintang 5 klo ud diubah minimum TOP UP jd 10k atau 20k. Karna sekarang minimum TOP UP 100k terlalu besar dan berpotensi membuat uang org lain nyangukut tdk terpakai. Mohon diperhatikan. klo tidak kalian akan kalah saing sm CGV yg mana mereka lebih membuat pelanggan nyaman dalam transaksi online.. CGV bukan cuma punya kenyamanan bioskop yg lebih bagus tp CGV jg punya kenyamanan dan kemudahan dlm transaksi pembelian tiket dan tdk berpotensi merugikan",1
"Males aja ada biaya adminya, pembayaran lwt BNI juga gk bisa",1
"Tolong donk, untuk pengisian M. Tix nya dipermudah, dr ATM BRI tdk bs di top up, dr Indomaret jg gk bs, jd susah mw nambah saldo nya",5
"Untuk overall sudah bagus apknya , hanya aja tingkatkan lagi kecepatan pemrosesan aplikasinya, kadang sangat lambat untuk loading , pas buka apknya harus nunggu bentar lalu masuk tunggu lagi , sekian terima kasih",4
ini ga ada kota depok ya?,2
"Top up min 100 rb tp pas isi otomatis lsg d potong 5 rb, jd mau beli tiket mlh ga bisa gara² kurang 5 rb lg.... Jd harus isi lg 100 rb, sungguh terlaluuu ngendap 95 rb ga bs d pake, saldo mau di tarik ga bisa.",1
"Yg jualan tiket gak tau soal pre-sale yah, masa ketika di padang, mereka bilang beli dan nonton di hari yang sama, saya bilang ini pre-sale film box office, mereka melonggo, bodohnya!!!",2
"admin top up gede beut, sama minimal saldonya kegedean,hedeh ubah lha minimunya 25/50rb jg dh cukup",1
Saya belom pernah download 😁,5
Semoga nanti top upnya bisa minimal 10rb seperti Dana tix id.,1
Nonton,5
no komen,4
Pliss M-TIX kasih metode pembayaran yang lain dongg jangan saldo M-TIX aja,4
"Percuma,pihak aplikasi ga mau dengar keluhan kita. Minimal top up kemahalan,biaya admin kemahalan,plus dana yg di mtix ga bisa di transfer lagi ke bank,sayang kalau cuma sisa berapa ga bisa di transfer lagi,malah mendam di aplikasi. Payah",1
Kalo bisa minimum topupnya turunin min,4
"Saya salah isi saldo mtix, trs ga bisa di balikin duitnya haduhh ngapain ada isi saldo segala kalo ga bisa refund kek gini. Jelek banget nih aplikasi",1
Admin nya gede bnget.. pindah aja ke aplikasi sebelah pebih murah tanpa admin gaes..,1
Gabisa top up under 100k,1
Cacat bgt ni aplikasi sumpah,1
"App yg bagus, cuma segera diperbaiki lagi karena sering tidak ada koneksi internet, padahal internet sy lancar. Dan untuk sy yg kadang nonton sendirian, minimal top up 100k itu kebesaran, mungkin bisa diganti jadi 30k.",3
Suka senang,5
Good,5
"minimum top-up terlalu gede min, coba adain minimum top-up 25k/50k. kalo buat nonton sendiri ya mikir"" lagi , terus fee top upnya jg mahal sampe 5k, belum di tambah potongan admin bookingnya 🤦‍♂️",1
loading nya lama bangetttt :))),5
"Aplikasi burik, top up minim 100k, kena potongan admin 5k di saldo mtixnya bukan ada tambahan admin gitu pas transfer. Belom lagi mau nonton ada tambahan admin lagi 3k, kapitalisme banget. Mending ke CGV",1
ok,5
MAU CEPET KAYA DEVELOP NYA. BIAYA ADMIN 5.000 GABISA REFUND PULA. SENGAJA BENER MIN TOP UP 100K BIAR BANYAK YG NYANGKUT SALDONYA. HADEEHHH BYEE DEHH SEKALI AJA GUA PAKE.,1
"Aplikasi scam, min top up 100rb. Giliran top up kepotong 5rb tanpanada pemberitahuan apa"". Alhasil harus top up lagi 100rb biar bisa kebeli tiketnya. UNINSTALL!!!!!!!!!!",1
Tidka bisa top up di In....et. pindah ke lain bioskop akhirnya.,1
Good,5
👍,5
"App'y bener"" ga guna buat kere hore.. Min topup 50k..harga tiket 40k.. 10k'y di gondol + biaya admin lumayan 5k.. tekor 15k... Knpa ga ada sistem TF sesuai yg di beli sih,kaya marketplace..? Ahh,,apa emang buat cari cuan ini app.. Hahahaha",1
Mantaaap,5
Niceee!!,5
Hih,1
"Tidak ada Opsi Refund, Reshedule, Relocate diaplikasi jadi bagi pengguna baru dan jarang menggunakan aplikasi ini sebaiknya tidak usah digunakan. Selain dana Top Up 5000/Top Up. Jika terjadi kesalahan apapun sekecil apapun maka Transaksi anda dinyatakan HANGUS. Sebaiknya setiap transaksi yang bermasalah adukan ke Kominfo, YLKI dan Lembaga pengawasan lainnya. Bila perlu sampai VIRAL Sehingga keluhan konsumen dapat segera dimediasi dengan Developer/Perusahaan",1
"Menurut ku aplikasi yang sangat membantu dan memudahkan untuk pemesanan tiket bioskop Via Online, mungkin untuk kedepannya bisa ditingkatkan jauh lebih baik lagi dan bisa ditambahkan berbagai fitur yang menarik dan tentunya bermanfaat",5
"Kok keterangan saldonya nya hilang, padahal baru isi kemaren...bgmana ini...harusnya msh ada sisa dari pemakaian kemaren..ini bener2 kaga ada sisa sama sekali...error' atau bgmana nih .????",5
Top up terlalu tinggi nominalnya,5
Mau ntn tpi mesti dibatasin max 8 tiket . Yg mau ntn 11 masa dibatasin jdi nyangkut uang sisany ga bisa di tarik ga bisa pesa scan lewat m-tiz pembayaran .bnr2 aneh aplkasi ini kok malah bikin susah bukanny gampang malah susah !!!!!!! Perbaiki lagi itu,1
No OTP tidak terkirim kirim!,1
Minimum top up 100 rb terus kena potongan langsung dari aplikasi 5 rb Kecewa banget.,1
Saya puas,5
Jadi mudah banget utk beli tiket flim bioskop,5
Mencairkan dana tix gimana? Udah tidak bisa dari dana lagi,3
"Saran ketika isi saldo ditambahkan nominal 5rb maupun 10rb, ketika kurang di biaya admin 3 rb, tinggal isi yg 5rb maupun 10rb, Kendala masih disitu",1
😍😍😍😍,4
Tambahi lage,5
"Mahal bat amjìng Masa top up minimal nya 100k Harus nya ada pilihan top up 5k, 10k, 15k, 20k, 25k, 30k Biaya admin nya mahal bat 3k per tiket Gw nonton rame2 10 orang kena admin 30k amjìng Jan mahal mahal lah njir riba lu makan duit rakyat jelata kek kami 😡😤😡😤",1
Minimal top up jangan 100k dong. Min 25k kek ato 50k kek udh kena biaya admin 5k lagi 🙃 mau nonton sndiri saldo sisa 37k gak guna dong ini,2
Kalo bisa minimal top upnya jgn 100k terus pembayarannya diperbanyak lagi misalnya shopeepay,4
Bagus aja sih,4
"top up nya kebesaran harus 100k dan biaya admin jga besar bngttt, semoga kelak top up nya minimal 25k aja karna sering nonton sendiri dan sayang bngtt kalau harus top up 100k, tapi yg digunain ga sampai segitu,lagi pula ini bukan seperti e money yg bisa di pergunakan/tf untuk yg lainnya.",1
Good,5
Jadi tau film2 yg baru dan bagus udah kluar apa belum .jg tau jam pemutaran nya di bioskop kesayangan ataw yg terdekat,5
Keren,5
Cool 👍,5
Peraturan top upnya ngaco !!!,1
Jadi lebih gampang aja kalo mau lihat film yg lg tayang di bioskop,5
Very good,5
Tolong hadirkan juga tambahan payment method yg lain. Jd ga harus top up dlu ke mtix,3
Binta 2 aj dulu ya soalnya baru permulaan nanti klu bgs bintang 5 deh,2
Gak guna,1
Good job,5
Lumayan si buat liat ada film apa:),4
Firman pi ini sebab bayak orang bilang hebat,5
ada masalah saat login,1
Membantu si buat booking tiket bioskop....tapi biaya top up nya lumayan....5000 + 2500 jika via indomaret,3
"minimal top-up 100rb?(oke lah not a big deal) tapi kok pesen minuman ambil sendiri? gw kira dianterin💀 udah gitu waktu ambil minuman 5 menit lagi. mending beli ditempat kalo gitu. udah gitu barang udah gak diambil, uang gak balik lagi💀. minumannya dikemanain? saran aja ya min, orang pesen minuman via hp ya karna lagi gak bisa beli diwaktu itu. masa lagi nonton ditengah film ambil barang diluar💀. kelewat dong filmnya. udah gitu ada biaya admin lagi💩 hadehhhhhhhhh kecewa. topup 100rb sisa 60",1
jadi gampang kalau mau beli tiket,5
Topup masih sisa,2
Selalu gak ada koneksi internet ...youtube gue lancar...browsing juga lancar buka mtix malah gak ada koneksi ...masa saya harus minta hotspot dng orang laen....,1
Promosinya yg banyak donk!,5
Error min aplikasinya belum update seutuhnya kah? Merger ke mtix masih banyak bug,2
"Kecewa sama sistem top upnya, terlalu gede minimalnya dan nominalnya ga fleksibel. Jadinya ribet kalau mau beli tiket di aplikasinya.",3
"Biaya admin terlalu berat , terus gak ada opsi buat narik saldo yang lebih. Next semoga di update lagi biar bisa narik saldo dan biaya admin nya turun",3
Mending lu terus terang aja naikin harga tiket bioskop daripada berkedok biaya admin,1
👍,4
"good, jadi linglung dulu namanya XXI skrg m.tix. tapi overall masih sama ko bagus UwU",5
Bgus jg jd bisa tau jadwal film2 bioskop,5
Aplikasinya sangat membantu dan mempermudah,5
"aplikasi yg sangat membantu ,,good,,good",5
"Biaya admin terlalu banyak dan mahal, payahhhhhhhh",1
Aplikasi yang sangat bagus dan keren sih,5
"Putu Manda Setyawan, Sanga mendukung aplikasi hebat ini , sangat bermanfaat dan canggih...",5
Mantapp,5
Wow,5
"Kebanyakan otp daftar gak bisa bisa, pas udh bisa login lagi pakai otp. Huuhh",1
Gangguan teross,1
Good,5
Sangat membantu saat akan memilih film di bioskop xxi,5
Cool,5
Appnya bagus,5
"bagus,namun kenapa harus untuk umur 18 tahun keatas saja?sangat susah untuk membeli tiket untuk umur 18 kebawah",4
"Apk nya bagus bangett,dan keren",5
Knp ga ada kota Depok???,1
Susah cara pake nya kaks,2
APLIKASI LAKNAT!!!!,1
Oke,5
"aplikasinya harus dibuka menggunakan wifi dihp saya ini gimana ya, biaya adminnya juga terlalu besar",1
Biaya top up dan admin terlalu mahal,1
Buy ticket bug,1
"Top up kena 5 rb, eeeh ternyata order tiket juga kena 3 ribu hahahha",2
Masa gak ada XXI Depok sih padahal jabotabek ada,1
"Appnya bagus cuman, akun saya selalu ada tulisan tidak ada koneksi internet padahal koneksinya lancar dan hanya bagian film yang sedang main saja yang bertuliskan seperti itu yang lainnya lancar, itu ada apa ya tolong bantu jawab, terimakasih....",4
"bagus banget,keren🔥👍👍",5
"Halo Devepoler Dengarkan Keluhan Saya, Banyak Yang Harus Diperbaiki. Minimal Topup Saldo itu 25ribu serta biaya admin jangan terlalu besar, jangan seperti kita mau transfer uang dari bank ke bank lain. Patokan Biaya Admin itu Seharusnya Rp2.000 atau Rp3.000",3
top,5
Ok,5
"Tahiq, udah biaya admin mehong, saldo sisa 20k doang kagak bisa buat nonton kagak bisa ditransfer ke dompet digital, itu duit hey mayan itu 20k buat beli nasi padang, tolong lah tambahin transfer saldo mtix ke aplikasi dompet digital",1
top up minim nya tolomg di kurangi,1
"Kelemahan utama aplikasi ini : 1. Top up minimal 100rb. Jadi kalo kurang misal 10rb ya tetap isi saldo 100rb (+ bea admin 5rb). 2. Saldonya hanya berlaku di aplikasi, bukan emoney seperti yg lain yg bisa ditransfer dan refund. Tampaknya ditujukan utk menghimpun dana sebesar-besarnya, tapi caranya kurang elegan. 3. Beli tiket kena bea admin 6500. Jadi lucu, ini aplikasi milik XXI atau pihak ketiga. Masa beli layanan sendiri kok kena bea admin lagi.",1
Cool,5
Best,5
Mahal mahal m foodnya,4
"Haris, Wijaya",5
Mantap betul coy....,5
"Dah keterlaluan ni semua serba mahal.., top up minimal 100 rb kena biaya adm 5 rb, ga bisa top up nominal kecil.. trs sisa saldo ga bisa d apa2in atau d tf ke rek/uang digital lain.. Beli tiket pun dikenai biaya admin terlalu mahal sebesar 6.500/tiket. SANGAT2 KETERLALUAN !!",1
"Aplikasi lintah darat, top up kena biaya 5.000 minimal 100 rb pula, ga bisa top up nominal kecil. Beli tiket pun biaya admin terlalu mahal sebesar 6.500.",1
"Kalau buat liat jadwal tayang lumayan bisa diandalkan, tpi buat booking tiket ribet!!, Saran saya bagusan beli tiket offline aja",4
Minimal top up terlalu mahal dan sisa saldo ga bisa diapa-apain,1
"Kelebihan : Lebih praktis, ga perlu antri lagi beli tiket Kekurangan aplikasi ni : 1. Top up min 100k, relatif mahal 2. Terlalu banyak biaya admin, pilih seat 1,5k, admin top up 5k 3. Food nya banyak yg sold out 4. Uang sisa gabisa digunain",2
Naeknya parah😢,1
"Daftar M-Tix aja ribet banget ampe puluhan kali g bisa bisa,",1
Loginny ribet mnding pke TIXid,1
Enak buat ngcek film Tapi kalo buat beli tiket ga deh...harus min 100k Thnks,5
Keren ... jadi gak kesulitan kalo mau update film terbaru,4
Mahal bgt,1
nice,5
Sampah,1
Good,5
Ok,5
Aplikasi nya nggak bisa dibuka padahal sudah instal berkali kali .buruk,1
"aplikasi bagus untuk beli tiket bioskop, jadi tidak perlu antri lagi...",5
Kerreeen,5
Bagus untuk hiburan,5
aplikasi mtik yg jaga cafenya ama jaga tiketnya aja nga taucaranya beli mfood lewat mtik .parah....solusinya nga ada,1
Buaaaaggguuuusss,5
Emang berguna apl ini soalnya bisa beli tiket bioskop dll wajib kalian download apl nya☺,5
Bagus banet,5
"Ini sih cakep banget,biar kalo beli tiket kaga usah ngantri lagi",5
Biaya admin banyak bgt dan minimal top up 100k. Kalo ada sisa saldo harus top up 100k lagi buat transaksi hedeh,2
"Ku kira lebih mudah order tiket bioskop lewat aplikasi, ternyata malah kebalikannya justru ribet",1
"Tidak bisa refund saldo, jangan top up di aplikasi ini!",1
"Nyesel bgt gak baca reviewer dari yg lain. Bener-bener zonk banget. Pajak gede, minimal top-up 100. Banyak yg ngasih review kritik tp gak ada kemajuan.",1
🤘,5
Good,5
Aplikasi bobrok biaya admin mahal topup jg kena admin 5rb dan uang tersisa nga bisa ditarik min top 100k,1
Bagus tapi GK bisa di download,5
Sangat membantu,5
"Buat kalian yg order lewat apk ini mending langsung ke bioskopny aja kalau lewat apk ini kena pajak ny gede hampir 10k, terus order makanan disini harus diambil dalam 5menit dan tidak bisa direfund ya guys uangnya sumpah nyesel banget tidak ada pemberitahuan kalo buat makanan harus diambil 5menit dan kalu telat itu hangus kaya saya 300rb lebih",1
Jujur dari registrasi aja lebih mudah cgv. Harus banyak dievaluasi,1
Penarikan dana lah...,1
👍👍👍,5
"Sangt mmbntu,bli tiket cpet mlih seat dn praktis gak pke antri. Anti ribet dn cepet.mantap",5
Baguss,5
Xxxii,3
"Sangat membantu Saya Untuk melihat jadwal film baru yg diputar tiap hari rabu di cirebon,..",5
Emang gk bisa byr di tempa ya ???,3
Nice😃,4
Terima kasih,5
Mantap,5
"Tidak tega berkata kasar karena yang lain sudah mewakili Namun tolong dengan sangat, tambahkan fitur transfer/refund saldo yang tersisa di app jadi lebih bisa berguna daripada hanya didiamkan (bagi pengguna)",1
👍,5
knp susah di download? padahal memo sy banyak,4
Baik,5
Jele,1
Maaf saya sudah daftar tapi mengapa saya tidak dikirimkan kode aktivasi M-TIX ?,1
Bagus tapi XX1 harus keluaran film kedet 1947 di Manokwari,5
seru,5
Mencari film yang paling bagus banget di 2022,5
"Sayang sekali, untuk mengubah nomor hape aja musti foto KTP sama selfie KTP. Memangnnya mau pinjaman online? Bintang satu!",1
"Setahun kemarin gak terpakai karna covid. Sisa saldo gak bisa refund. Terpaksa dipakai, setelah ini saya uninstal.",1
Tidak dapat di withdraw,1
"Min tolong peraturannya diperbaikin lagi, masa orang yg ga bisa vaksin ga boleh masuk meski udh ada surat keterangan dokter. XXI sudah tidak butuh pemasukan lagi ya",1
"aplikasi yang memaksa untuk membeli tiket banyak, gak bisa ditarik kembali, kesannya jadi memaksakan penontin tetep beli, padahal udah gak.mood buat nonton",1
Saldo tidak bisa dicairkan. Semoga bisa buat nonton Shang-Chi 3,1
Jelas bintang 1 krn TERINDIKASI CURANG. sisa saldonya mau lu apain? Masa orang dipaksa ngendepin uang d tempat lu..,1
"minimal topup nya 100, harga tiket banyak yg jauh dibawah 100, sisanya kebuang kalo ga dipake",1
"Gabisa login, engga ada verifikasi email masuk gimana ini",1
Maaf min mau nanya untuk film Peter Rabbit 2 belum tayang ya di XXI Jayapura ? Soalnya saya lihat di XXI di Jakarta sudah tayang.,5
Karena XXI tidak menyediakan film film movie anime,1
Tolong dong cinema 21 tambahin bioskop anime mana bioskop dumai cuma kau,3
Aplikasi nya bagus saya beli tiket spiderman bisa aplikasi nya bagus,5
Uda daftar ga bisa masuk terus,1
Aplikasi banyak errornya...dan e-walet nya parah bgt gak banyak pilihan,1
Cinema nya full film semua yaaa,5
Adhityofirdausputra,5
Ga niat,1
Ini ni bagus,5
Min top up 100 rb sisa gk bisa dikembalikan ke bank,1
maap yah di kasih 2bintang soalnya baru buka,2
Wow...,5
Kurang ramah,1
"Karyawannya jutek, ""PELAN2 CEUNAH""",1
Gak bisa download 😭,1
Kok nggak bisa booking tiket ya,2
Joossss,5
"Aplikasi paling sampah. Gk bisa tarik saldo. Tau knp mereka percaya diri mempertahankan kebijakan ini? Jwbnya cuma 1, dimonopoli!",1
Mudah d gampang,5
Aplikasi ini bagus untuk memesan tiket online jadi pas Sampe dibioskop nya kita sudah tinggal masuk apalagi di aplikasi cinema 21 ini ada fitur XXI food jadi kita bisa langsung peseen disitu juga pokoknya terbaik deh okeyy makasih,5
"Maaf saya hanya bantu rating 1 Bintang,habis ini di HAPUS APLIKASI...begitu banyak keluhan 1 Bintang,akan tetapi pihak aplikasi tidak ada tindak lanjut/Respon ditanggapi. kalau begini lebih baik Aplikasi ini ditutup saja.",1
👍,5
Tdk bisa top up lewat bank bsi🥲,2
Gw pakai biasa aja lancar bagus lah Yang pada ngeluh elonya yang tolol!!!,5
💕,5
Niceee,5
Rugi....top up adm ke 5.000...beli tiket adm 1.500/kursi habis di adm...mending tiket beli langsung...atau nonton di cgv...,1
Ini hp kentang,5
👍,5
"Kalo mau infaq ama orang yang mampu, install aplikasi ini.",1
Mau top up harus 100.000 . andai lebih di minimal kan untuk minimal top up. Dan biaya top up jg tergolong mahal 5000. Kenap tidak free. Aplikasi sangat buruk,1
Kenapa gk ad sao progressive pdhl sudah saya tunggu dan berharap akan ada di Cinema XXI,1
"Saldo tdk terintegrasi dengan dompet digital, sehingga sisa saldo tdk bisa di tarik.",1
😁,5
Bagus buat beli tiket nonton,4
"Aplikasi bobrok.. daritadi mau masuk gak ada sinyal. Padahal koneksi lancar, buka aplikasi lain pun juga lancar",1
"TOLONG MIN TO UP DIKURANGI DONG, jadi 10rb gitu.. Kalah sih sma aplikasi sebelah bisa pake e-wallet topup semaunya dan charge cuman 3rb.. Top up ini min 100rb dn kena charge pula 5rb 😡",1
"Aplikasi bangke, minimal top up 100rb, kena caz 5rebu motong dari saldo, gw kurang 5rebu mesti topup 100rb, dah gitu gada pemberitahuan kalo pesan via mtix kena biaya lagi 1,500 per kursi, bangke bener dah, not recommended",1
Good,5
"Combo box utk jenis kelamin, tgl/bln/thn, dan combo box stlhnya g bs diklik. Saya lupa password sy dan tdk bs menggantinya krn combo boxnya disable. Tlng IT support dr aplikasi ini combonya diperiksa. Saya pelanggan setia di bioskop XXI atau 21. Trm ksh.",3
Bagus,5
Banyak keluhan tapi gak di tanggap..... Tolong dong jangan gitu. Ini bioskop namanya jangan jadi rusak karena adminnya gak ada tanggapan.,1
Cuih,1
"Mohon maaf,aplikasi XXI saya error kenapa? Diminta restart connection terus,bahkan untuk melihat informasi saya aja ga bisa dibuka,udah dari seminggu yg lalu begini terus",1
"Kalo top up itu sesuai NOMINAL, JANGAN DIPOTONG, LEVIH BAIK DIKENAKAN BIAYA TOPUP TRANSFER",1
Niat mau coba sekali disini. Eh Minimal topup 100k uang stack. Potongan administrasi sampe 15k. Gak lagi lagi deh,1
Aku belum menggunakan nya sih kita coba saja nanti ya okay,4
Mantaapppppp,5
So bad!! Saldo gabisa ditarik ke rekening,1
Berkali-kali di install tetap g ke install,1
Kenapa tanggalnya masih di 31 januari terus sih...,1
Ngak punya pengalaman /sederhana,4
Tolong dong dibikin KALENDER BOKING TIKET nya kaya di CGV. Masa sih kalah sama tetangga yg udah UPDATE KALENDER nya kalo mau BOKING TIKET. Masa sih harus boking tiket pas hari H nya. Tolong di Perbaiki Aplikasinya.,1
Woy promonya nggk bisa di pake ngapain di pasang bloon?,5
"Sumpah buruk sekali ,uang tidak bisa di transfer kembali, biaya adminnya juga mahal. Mengecewakan poll, tolong segera di upgrade aplikasinya, dompet digital sangat perlu. Tolong secepatnya",1
Top upnya bebasin dong,2
Goid,5
lemot server nya,1
Membantu sich. Tp ga masuk akal u/ minimal top up 100rb.,1
Ok,5
MENDING PAKE TIX-ID,1
Kok ga bisa diklik jam tayangnya,1
Knp tidak bisa membatalkan pesanan yg telah di pesan dan untuk pelayanan bantuannya terlalu lama,3
Nice lah pokoknya,5
Ko di daerah Depok ga nongol yaa,1
👍,5
"Tolong.........!!!!, Dompet digital ditambah, kalah sama MyTelkomsel udah kerjasama dengan LinkAja Gopay, ini masih sampah, susah topup ga bisa lewat brimo. UI/X jelek ini designer ga lulus kuliah kah?, Mobile developer kurang bagus belum futuristik jangan bilang masih pake kotlin atau java, sampah Baru pertama kali pake udah disusahin",1
Yang bener aja bikin minimal top up 100k. Harga tiket kan nggak nyampe segitu. Kalo nonton rame-rame oke lah. Kalo nonton cuma ber 2 atau sendiri aja gimana ?,1
Luar bisa dan memudahkan,5
"Kemahalan masa di suruh top up awal 100 ribu , aplikasi cari untung tolong di buat mudah dong sesuka kita top up minimal 30 kek",1
Film.sekxxx,2
Top,5
"Ada admin 5000 pas mau bayar, mana udah top up pas pula, top up minimal 100rb lagi, mau untung gitu amat. Shame.",1
Cinema nya bgus💎ntr mau nonton hehehe💗,5
"minimal top 100rb.. kalo pembelian tiket gak sampe 100rb sisa saldo gak bisa diapa2in.. Kalo XXI suatu saat nanti jadi sepi yah karena aplikasi ini. orang gak bisa beli di tempat, kalau membeli online cuma bisa diaplikasi kaya gini.. mau studio lebih banyak tapi mending lari ke CGV, beli tiketnya lebih gampang bisa di gotix, shopee, dan lainnya.. andai ada kelebihan saldo gopay/shopeepay masih bisa minimal buat beli pulsa..",1
Min kenapa tiket studio xxi di Banjarmasin lebih mahal dri daerah lain. Apalagi klo weekend. Apa krn kualitas studionya atau apa? Dan promo jg jarang ada. Mhon penjelasan. Tks.,4
Aplikasi bioskop terbaik,5
Top,4
Mantap👍👍👍,5
"Setelah klik buy dan jumlah tiket, gbisa proses selanjutnya",1
"Aplikasi paling ribet, mau registrasi ribet,,",1
"Aneh sih, sisa saldo mtix 2ribu, isi saldo 112rb sengaja isi ngepas biar gada dana yg mengendap disitu, tapiiii bgitu masuk taraaa saldonya 109ribu, mau tambahin minimal 100ribu, galagi lagi deh beli di mtix kapok",1
Terlalu memakan biaya haddeh,1
Depok kok gal ada do list yah,3
Mantap,5
Tolong di upgrade fiturnya untuk refund saldo. Soalnya ada kelebihan top up yang cukup banyak.,1
Ok,5
Tolol,1
Ni saran buat XXI tolong kursi nya di buat kuat lah tiap nonton pasti ada org ngentt di belakang yg kaki nya kagak bisa diem ato ngegoyang goyangin kursi tolong bet ini mah ya mau gw pukul org yg ngegoyang goyangngin nya ntar malah ganggu ke yg lain,4
Tolong donk min hp saya hilang dan nmr y sdh ga aktif itu harus bagai mna ya soal nya sayang ada saldo nya 150rb,1
"Tambah pilihan top upnya donggg, gabisa pake BSI :(",4
Ok,5
"Tolong lebih update lagiii,, jangan lemoott",5
Mau Daftar akun dan sudah verifikasi email tapi tetep ga bisa login,2
Sangat membantu,5
Kenapa ga bisa ke donlod ya:((,3
Good apps,5
apakah tidak ada cara lain untuk log in m-tix selain pakai kode OTP via sms? karna nomer saya sudah hilang sedangkan saldo m-tix saya masih 200rb. mohon respon nya.,2
"Halo kak.. Sebelumnya saya telah menyampaikan keluhan saya terkait top-up dana yang kelebihan pada aplikasi ini via email. Tolong refund dana ya kak.. Setau saya, keluhan pelanggankan untuk meningkatkan kualitas pelayanan aplikasi 🙏",2
MENDING TIX ID.... MARI PINDAH KE TIX ID.... TIX ID LEBIH BAIK DARIPADA CINEMA 21-OFFICIAL,1
"Baru download bisa, besok2 di buka gak bisa katannya gak ada jaringan, kalo CGV mah gak, CGV keren",1
Fitur pilih tanggal nya jd gaada.. Gaada sistem refund. Keluhan setiap org yg kasih ratting nih aplikasi gadaa tanggepan nya dah.,3
"tolong donggg ini minimal top-up nya gausa diadain, atau klo mau ada ya jangan 100K minimalnya. terus saldo sisanya juga jadiin bisa ditarik.. sama terakhir admin top up nya kegedean kayaknya, terus gak ada infonya juga admin 5K saya kira masuknya cuma 95K",2
"BIAYA TOP UP TERLALU BESAR, LEBIH BAIK DI BIKIN HARGA SEMINIM MUNGKIN, SUPAYA MEMBANTU BANYAK ORANG",1
